canonical_tensor_name,canonical_dtype,canonical_shape,canonical_parameter_count,canonical_payload_bytes,subsystem,component,layer_id,expert_id,initial_text_scope,mapping_status,gguf_tensor_names,gguf_parameter_count,gguf_packed_bytes_allocated,mapping_rule,evidence_ids,confidence,notes
lm_head.weight,BF16,248320x2560,635699200,1271398400,text,lm_head,,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,output.weight,635699200,675430400,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.embed_tokens.weight,BF16,248320x2560,635699200,1271398400,text,token_embedding,,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,token_embd.weight,635699200,675430400,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.hyper_connection_mixer.hc_norm.weight,BF16,10240,10240,20480,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,output_hc_norm.weight,10240,40960,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.hyper_connection_mixer.input_mix_weight_down.weight,BF16,320x10240,3276800,6553600,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,output_hc_down.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.hyper_connection_mixer.input_mix_weight_up.weight,BF16,10240x320,3276800,6553600,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,output_hc_up.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.attn_hyper_connection.block_inject_weight.weight,BF16,4x10240,40960,81920,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_attn_inject.weight,40960,163840,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.attn_hyper_connection.hc_norm.weight,BF16,10240,10240,20480,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_attn_norm.weight,10240,40960,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.attn_hyper_connection.input_mix_weight_down.weight,BF16,320x10240,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_attn_down.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.attn_hyper_connection.input_mix_weight_up.weight,BF16,10240x320,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_attn_up.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.linear_attn.A_log,BF16,48,48,96,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.ssm_a,48,192,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter stores -exp(A_log) in the one-to-one GGUF tensor
